,name,issue_url,language,task type1,domain1,,task type2,domain2,,final task type,final domain
0,misoguy,https://github.com/facebook/jest/issues/5073,TypeScript,3,4,,3,4,,3,4
1,misoguy,https://github.com/facebook/react/issues/9239,JavaScript,3,4,,3,4,,3,4
2,misoguy,https://github.com/microsoft/TypeScript/issues/14775,TypeScript,3,4,,3,4,,3,4
3,misoguy,https://github.com/yarnpkg/yarn/issues/5098,JavaScript,1,5,,1,5,,1,5
4,misoguy,https://github.com/microsoft/vscode/issues/21536,TypeScript,3,1,,3,1,,3,1
5,code-review-doctor,https://github.com/OpenMined/PySyft/issues/6420,Python,1,4,,1,4,,1,4
6,code-review-doctor,https://github.com/saltstack/salt/issues/61646,Python,1,4,,1,4,,1,4
7,code-review-doctor,https://github.com/RaRe-Technologies/gensim/issues/3331,Python,1,4,,1,4,,1,4
8,code-review-doctor,https://github.com/pandas-dev/pandas/issues/46853,Python,1,4,,1,4,,1,4
9,sameshl,https://github.com/sympy/sympy/issues/16904,Python,4,4,,4,4,,4,4
10,sameshl,https://github.com/scikit-learn/scikit-learn/issues/14426,Python,6,4,,6,4,,6,4
11,sameshl,https://github.com/pandas-dev/pandas/issues/27558,Python,5,4,,4,4,,5,4
12,sameshl,https://github.com/matplotlib/matplotlib/issues/14720,Python,6,4,,6,4,,6,4
13,faheel,https://github.com/Leaflet/Leaflet/issues/5125,JavaScript,4,3,,4,3,,4,3
14,faheel,https://github.com/serverless/serverless/issues/7023,JavaScript,4,3,,4,3,,4,3
15,faheel,https://github.com/PowerShell/PowerShell/issues/2910,C#,1,4,,1,4,,1,4
16,faheel,https://github.com/freeCodeCamp/freeCodeCamp/issues/11631,TypeScript,1,6,,1,1,,1,1
17,accraze,https://github.com/RaRe-Technologies/gensim/issues/673,Python,6,4,,6,4,,6,4
18,accraze,https://github.com/scikit-learn/scikit-learn/issues/5797,Python,6,4,,6,4,,6,4
19,accraze,https://github.com/pandas-dev/pandas/issues/18770,Python,6,4,,6,4,,6,4
20,accraze,https://github.com/bitcoin/bitcoin/issues/6142,C++,6,1,,6,1,,6,1
21,rbrishabh,https://github.com/mui/material-ui/issues/16812,JavaScript,1,3,,1,3,,1,3
22,rbrishabh,https://github.com/WordPress/gutenberg/issues/16809,JavaScript,4,1,,4,1,,4,1
23,rbrishabh,https://github.com/elastic/eui/issues/4801,TypeScript,1,3,,1,3,,1,3
24,rbrishabh,https://github.com/internetarchive/openlibrary/issues/5213,Python,1,1,,1,1,,1,1
25,Bharat123rox,https://github.com/RaRe-Technologies/gensim/issues/2332,Python,4,4,,4,4,,4,4
26,Bharat123rox,https://github.com/scikit-learn/scikit-learn/issues/13097,Python,4,4,,4,4,,4,4
27,Bharat123rox,https://github.com/pandas-dev/pandas/issues/24268,Python,4,4,,4,4,,4,4
28,Bharat123rox,https://github.com/matplotlib/matplotlib/issues/13880,Python,6,4,,6,4,,6,4
29,sainthkh,https://github.com/TryGhost/Ghost/issues/12038,JavaScript,1,1,,1,1,,1,1
30,sainthkh,https://github.com/WordPress/gutenberg/issues/18939,JavaScript,2,1,,2,1,,2,1
31,sainthkh,https://github.com/elastic/eui/issues/2523,TypeScript,1,3,,1,3,,1,3
32,sainthkh,https://github.com/elastic/kibana/issues/35391,TypeScript,3,1,,3,1,,3,1
33,RhnSharma,https://github.com/WordPress/gutenberg/issues/31967,JavaScript,2,1,,2,1,,2,1
34,RhnSharma,https://github.com/Qiskit/qiskit-terra/issues/6536,Python,4,4,,4,4,,4,4
35,RhnSharma,https://github.com/elastic/eui/issues/4840,TypeScript,4,3,,4,3,,4,3
36,RhnSharma,https://github.com/pandas-dev/pandas/issues/42141,Python,4,4,,4,4,,4,4
37,timgates42,https://github.com/saltstack/salt/issues/55649,Python,4,4,,4,4,,4,4
38,timgates42,https://github.com/pypa/warehouse/issues/7348,Python,4,5,,4,5,,4,5
